Country,Weight_kg,Price_KRW
Cambodia,9.0,46000
Cambodia,9.5,48000
Cambodia,10.0,50000
Cambodia,10.5,52000
Cambodia,11.0,54000
Cambodia,11.5,56000
Cambodia,12.0,57500
Cambodia,12.5,59500
Cambodia,13.0,61500
Cambodia,13.5,63500
Cambodia,14.0,65500
Cambodia,14.5,67500
Cambodia,15.0,69000
Cambodia,15.5,71500
Cambodia,16.0,73000
Cambodia,16.5,75000
Cambodia,17.0,77000
Cambodia,17.5,79000
Cambodia,18.0,81000
Cambodia,18.5,83000
Cambodia,19.0,85000
Cambodia,19.5,86500
Cambodia,20.0,88500
Cambodia,20.5,86500
Laos,0.5,13500
Laos,1.0,15500
Laos,1.5,17000
Laos,2.0,19000
Laos,2.5,21000
Laos,3.0,23000
Laos,3.5,24500
Laos,4.0,27000
Laos,4.5,28500
Laos,5.0,30500
Laos,5.5,32500
Laos,6.0,34500
Laos,6.5,36500
Laos,7.0,38500
Laos,7.5,40500
Laos,8.0,42000
Laos,8.5,44000
Laos,9.0,46000
Laos,9.5,48000
Laos,10.0,50000
Laos,10.5,52000
Laos,11.0,54000
Laos,11.5,56000
Laos,12.0,57500
Laos,12.5,59500
Laos,13.0,61500
Laos,13.5,63500
Laos,14.0,65500
Laos,14.5,67500
Laos,15.0,69000
Laos,15.5,71500
Laos,16.0,73000
Laos,16.5,75000
Laos,17.0,77000
Laos,17.5,79000
Laos,18.0,81000
Laos,18.5,83000
Laos,19.0,85000
Laos,19.5,86500
Laos,20.0,88500
Laos,20.5,86500
Macao,0.5,13500
Macao,1.0,15500
Macao,1.5,17000
Macao,2.0,19000
Macao,2.5,21000
Macao,3.0,23000
Macao,3.5,24500
Macao,4.0,27000
Macao,4.5,28500
Macao,5.0,30500
Macao,5.5,32500
Macao,6.0,34500
Macao,6.5,36500
Macao,7.0,38500
Macao,7.5,40500
Macao,8.0,42000
Macao,8.5,44000
Macao,9.0,46000
Macao,9.5,48000
Macao,10.0,50000
Macao,10.5,52000
Macao,11.0,54000
Macao,11.5,56000
Macao,12.0,57500
Macao,12.5,59500
Macao,13.0,61500
Macao,13.5,63500
Macao,14.0,65500
Macao,14.5,67500
Macao,15.0,69000
